time|temperature|acceleration|magnetic|gyro|euler|quaternion|linear_acceleration|gravity
2023-04-21 12:58:07.290228|30|(-0.32, -0.1, 9.67)|(-55.375, 10.6875, -24.6875)|(-0.001090830782496456, -0.002181661564992912, -0.001090830782496456)|(0.0, -1.9375, 0.5625)|(0.99981689453125, -0.00518798828125, 0.01702880859375, 0.0)|(0.0, 0.0, -0.12)|(-0.33, -0.1, 9.8)
2023-04-21 12:58:07.509746|30|(-0.33, -0.09, 9.65)|(-56.5, 10.6875, -23.5)|(0.0, -0.003272492347489368, -0.002181661564992912)|(0.0, -1.9375, 0.5625)|(0.99981689453125, -0.00518798828125, 0.0169677734375, 0.0)|(0.02, 0.01, -0.11)|(-0.33, -0.1, 9.8)
2023-04-21 12:58:07.683936|30|(-0.3, -0.11, 9.66)|(-55.375, 11.0625, -23.875)|(0.002181661564992912, 0.0, 0.001090830782496456)|(0.0, -1.9375, 0.5625)|(0.99981689453125, -0.00518798828125, 0.0169677734375, 0.0)|(0.0, 0.0, -0.11)|(-0.33, -0.1, 9.8)
2023-04-21 12:58:07.883734|30|(-0.32, -0.09, 9.67)|(-56.5, 11.0625, -23.875)|(0.0, -0.002181661564992912, -0.002181661564992912)|(0.0, -1.9375, 0.5625)|(0.99981689453125, -0.00518798828125, 0.0169677734375, 0.0)|(0.03, 0.01, -0.1)|(-0.33, -0.1, 9.8)
2023-04-21 12:58:08.088897|30|(-0.32, -0.1, 9.67)|(-55.75, 10.25, -23.0625)|(0.0, 0.002181661564992912, 0.003272492347489368)|(0.0, -1.9375, 0.5625)|(0.99981689453125, -0.00518798828125, 0.0169677734375, 0.0)|(0.0, 0.0, -0.11)|(-0.33, -0.1, 9.8)
2023-04-21 12:58:08.338744|30|(-0.29, -0.11, 9.67)|(-56.875, 10.25, -24.25)|(0.002181661564992912, 0.003272492347489368, 0.002181661564992912)|(0.0, -1.9375, 0.5625)|(0.99981689453125, -0.00518798828125, 0.0169677734375, 0.0)|(0.02, 0.0, -0.11)|(-0.33, -0.1, 9.8)
2023-04-21 12:58:08.611183|30|(-0.33, -0.09, 9.64)|(-56.5, 10.6875, -23.875)|(0.001090830782496456, -0.001090830782496456, -0.001090830782496456)|(0.0, -1.9375, 0.5625)|(0.99981689453125, -0.00518798828125, 0.0169677734375, 0.0)|(0.03, 0.0, -0.12)|(-0.33, -0.1, 9.8)
2023-04-21 12:58:08.790371|30|(-0.33, -0.08, 9.68)|(-55.75, 10.25, -25.0625)|(0.002181661564992912, -0.002181661564992912, 0.0)|(0.0, -1.9375, 0.5625)|(0.99981689453125, -0.00518798828125, 0.0169677734375, 0.0)|(0.03, 0.0, -0.1)|(-0.33, -0.1, 9.8)
2023-04-21 12:58:09.036869|30|(-0.32, -0.1, 9.700000000000001)|(-55.75, 11.0625, -25.0625)|(0.0, 0.002181661564992912, -0.001090830782496456)|(0.0, -1.9375, 0.5625)|(0.99981689453125, -0.00518798828125, 0.0169677734375, 0.0)|(0.0, -0.01, -0.15)|(-0.33, -0.1, 9.8)
2023-04-21 12:58:09.467120|30|(-0.29, -0.11, 9.66)|(-56.5, 11.0625, -25.0625)|(-0.001090830782496456, 0.0, 0.002181661564992912)|(0.0, -1.9375, 0.5625)|(0.99981689453125, -0.00518798828125, 0.0169677734375, 0.0)|(0.0, 0.0, -0.14)|(-0.33, -0.1, 9.8)
2023-04-21 12:58:09.670465|30|(-0.31, -0.1, 9.65)|(-55.375, 9.875, -24.75)|(0.0, 0.0, 0.001090830782496456)|(0.0, -1.9375, 0.5625)|(0.99981689453125, -0.00518798828125, 0.0169677734375, 0.0)|(0.02, 0.0, -0.11)|(-0.33, -0.1, 9.8)
2023-04-21 12:58:09.824872|30|(-0.3, -0.1, 9.67)|(-56.5, 11.375, -23.5)|(-0.001090830782496456, -0.001090830782496456, 0.001090830782496456)|(0.0, -1.9375, 0.5625)|(0.99981689453125, -0.00518798828125, 0.0169677734375, 0.0)|(0.0, -0.01, -0.13)|(-0.33, -0.1, 9.8)
