time|uptime|CPU1|CPU2|CPU3|CPU4|RAM|SWAP|EMC|IRAM|GPU|APE|APE_MASTER|NVDEC|NVENC|NVJPG|SE|VIC03|Fan tegra_pwmfan0|Temp AO|Temp CPU|Temp GPU|Temp PLL|Temp thermal|Power thermal|Power TOT|jetson_clocks|nvp model
2023-04-21 12:59:14.905863|3:11:38.590000|47|52|48|48|0.5332157479073572|0.0|0|0.0|38.2|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|48.0|41.5|38.5|39.0|39.75|1163|0|OFF|MAXN
2023-04-21 12:59:17.873498|3:11:41.590000|45|45|49|53|0.5334995294940706|0.0|0|0.0|12.6|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|48.0|41.5|38.5|39.0|40.0|1299|0|OFF|MAXN
2023-04-21 12:59:19.851451|3:11:43.600000|58|52|54|59|0.5352367063599592|0.0|0|0.0|47.5|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|48.0|41.0|38.5|39.0|40.0|1299|0|OFF|MAXN
2023-04-21 12:59:21.828840|3:11:45.600000|54|57|56|56|0.5357648554241204|0.0|0|0.0|27.6|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|48.0|41.0|39.0|40.0|39.75|1299|0|OFF|MAXN
2023-04-21 12:59:23.804098|3:11:47.600000|57|49|48|51|0.5350613135737265|0.0|0|0.0|44.7|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|48.0|41.5|39.0|39.5|40.0|1155|0|OFF|MAXN
2023-04-21 12:59:25.858938|3:11:49.600000|56|60|56|57|0.5354249087317032|0.0|0|0.0|53.9|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|48.0|41.0|39.0|39.5|40.5|1163|0|OFF|MAXN
2023-04-21 12:59:27.913616|3:11:51.600000|57|46|51|56|0.5356308474526168|0.0|0|0.0|0.0|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|48.0|41.5|39.0|39.5|40.25|1017|0|OFF|MAXN
2023-04-21 12:59:29.920907|3:11:53.610000|76|77|76|80|0.5363245357756943|0.0|0|0.0|14.2|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|48.5|42.0|39.5|40.0|40.5|1732|0|OFF|MAXN
2023-04-21 12:59:30.865780|3:11:54.610000|84|86|84|82|0.537751326531115|0.0|0|0.0|32.7|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|48.5|42.5|39.0|40.0|40.75|1588|0|OFF|MAXN
2023-04-21 12:59:32.865188|3:11:56.610000|80|80|80|80|0.5361166263493174|0.0|0|0.0|19.8|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|48.5|42.5|39.5|40.0|40.75|1443|0|OFF|MAXN
2023-04-21 12:59:33.896788|3:11:57.610000|84|78|82|81|0.5368714065417568|0.0|0|0.0|33.0|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|48.5|42.0|39.5|40.0|40.75|1443|0|OFF|MAXN
2023-04-21 12:59:34.909651|3:11:58.610000|85|81|82|81|0.537283283983584|0.0|0|0.0|33.1|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|48.5|42.5|39.5|40.0|40.75|1443|0|OFF|MAXN
