time|position
2023-04-21 13:05:21.114003|-10
2023-04-21 13:05:21.201186|-10
2023-04-21 13:05:21.318730|-11
2023-04-21 13:05:21.397092|-12
2023-04-21 13:05:21.496688|-12
2023-04-21 13:05:21.596211|-12
2023-04-21 13:05:21.734960|-12
2023-04-21 13:05:21.798706|-12
2023-04-21 13:05:21.918202|-12
2023-04-21 13:05:22.012479|-12
2023-04-21 13:05:22.100918|-13
2023-04-21 13:05:22.200866|-13
2023-04-21 13:05:22.301830|-11
2023-04-21 13:05:22.423209|-11
2023-04-21 13:05:22.504186|-11
2023-04-21 13:05:22.621324|-11
2023-04-21 13:05:22.713595|-11
2023-04-21 13:05:22.799107|-10
2023-04-21 13:05:22.899472|-9
2023-04-21 13:05:23.021505|-9
2023-04-21 13:05:23.100368|-9
2023-04-21 13:05:23.199177|-10
2023-04-21 13:05:23.297225|-10
2023-04-21 13:05:23.401364|-10
2023-04-21 13:05:23.500312|-10
2023-04-21 13:05:23.597899|-10
2023-04-21 13:05:23.712168|-10
2023-04-21 13:05:23.826561|-9
2023-04-21 13:05:23.918821|-9
2023-04-21 13:05:24.005495|-9
2023-04-21 13:05:24.098819|-9
2023-04-21 13:05:24.198329|-9
2023-04-21 13:05:24.304543|-10
2023-04-21 13:05:24.424121|-10
2023-04-21 13:05:24.499921|-10
2023-04-21 13:05:24.606034|-10
2023-04-21 13:05:24.702063|-10
2023-04-21 13:05:24.833241|-10
2023-04-21 13:05:24.912673|-10
2023-04-21 13:05:25.017396|-11
2023-04-21 13:05:25.100053|-11
2023-04-21 13:05:25.204234|-11
2023-04-21 13:05:25.311035|-11
2023-04-21 13:05:25.404247|-10
2023-04-21 13:05:25.496144|-10
2023-04-21 13:05:25.609996|-10
2023-04-21 13:05:25.707638|-9
2023-04-21 13:05:25.804171|-9
2023-04-21 13:05:25.901085|-9
2023-04-21 13:05:26.001308|-9
2023-04-21 13:05:26.100969|-9
2023-04-21 13:05:26.201151|-9
2023-04-21 13:05:26.296740|-9
2023-04-21 13:05:26.400969|-9
2023-04-21 13:05:26.503954|-9
2023-04-21 13:05:26.600671|-10
2023-04-21 13:05:26.700123|-10
2023-04-21 13:05:26.806975|-11
2023-04-21 13:05:26.912804|-11
2023-04-21 13:05:27.002149|-11
2023-04-21 13:05:27.111569|-11
2023-04-21 13:05:27.202230|-11
2023-04-21 13:05:27.325289|-12
2023-04-21 13:05:27.395930|-12
2023-04-21 13:05:27.523343|-12
2023-04-21 13:05:27.604602|-12
2023-04-21 13:05:27.706965|-11
2023-04-21 13:05:27.802046|-11
2023-04-21 13:05:27.929284|-10
2023-04-21 13:05:28.001220|-10
2023-04-21 13:05:28.101185|-9
2023-04-21 13:05:28.232360|-9
2023-04-21 13:05:28.326823|-9
2023-04-21 13:05:28.396524|-9
2023-04-21 13:05:28.513165|-10
2023-04-21 13:05:28.610290|-10
2023-04-21 13:05:28.722013|-10
2023-04-21 13:05:28.803763|-10
2023-04-21 13:05:28.909398|-10
2023-04-21 13:05:29.004737|-9
2023-04-21 13:05:29.113572|-10
2023-04-21 13:05:29.197457|-9
2023-04-21 13:05:29.296526|-9
2023-04-21 13:05:29.408682|-8
2023-04-21 13:05:29.512059|-9
2023-04-21 13:05:29.596761|-9
2023-04-21 13:05:29.703241|-9
2023-04-21 13:05:29.797846|-10
2023-04-21 13:05:29.897863|-11
2023-04-21 13:05:29.998647|-11
2023-04-21 13:05:30.130536|-11
2023-04-21 13:05:30.210827|-11
2023-04-21 13:05:30.298790|-11
2023-04-21 13:05:30.408210|-11
2023-04-21 13:05:30.502216|-11
2023-04-21 13:05:30.642918|-11
2023-04-21 13:05:30.697087|-11
2023-04-21 13:05:30.809330|-11
2023-04-21 13:05:30.900397|-11
2023-04-21 13:05:31.015320|-11
2023-04-21 13:05:31.104133|-11
2023-04-21 13:05:31.209482|-11
2023-04-21 13:05:31.297178|-11
2023-04-21 13:05:31.407257|-11
2023-04-21 13:05:31.497843|-11
