time|temperature|acceleration|magnetic|gyro|euler|quaternion|linear_acceleration|gravity
2023-04-21 13:07:12.710842|31|(0.43, -0.24, 9.75)|(-38.5625, 5.875, -14.0)|(0.009817477042468103, 0.001090830782496456, -0.00545415391248228)|(359.9375, -2.1875, 0.6875)|(0.999755859375, -0.0062255859375, 0.02020263671875, 0.00018310546875)|(0.0, -0.07, -0.03)|(-0.42, -0.12, 9.790000000000001)
2023-04-21 13:07:12.866786|31|(-0.96, -0.22, 9.91)|(-36.875, 4.75, -15.1875)|(0.00545415391248228, -0.050178215994836975, -0.006544984694978736)|(359.9375, -2.5, 0.75)|(0.999755859375, -0.00665283203125, 0.02130126953125, 0.00030517578125)|(0.81, 0.0, -0.28)|(-0.42, -0.13, 9.790000000000001)
2023-04-21 13:07:13.019818|31|(-0.46, -0.11, 9.73)|(-32.0, 0.75, -5.875)|(-0.009817477042468103, 0.038179077387375956, -0.002181661564992912)|(359.9375, -2.75, 0.8125)|(0.99969482421875, -0.00732421875, 0.0244140625, 0.00030517578125)|(-0.26, -0.02, -0.02)|(-0.46, -0.14, 9.790000000000001)
2023-04-21 13:07:13.198428|31|(0.06, -0.11, 9.51)|(-34.875, 5.0625, -20.0)|(0.0, -0.06763150851478027, 0.0)|(359.9375, -2.0625, 0.75)|(0.99981689453125, -0.006591796875, 0.0184326171875, 0.00030517578125)|(0.33, 0.08, -0.16)|(-0.38, -0.12, 9.790000000000001)
2023-04-21 13:07:13.342221|31|(-0.61, -0.47000000000000003, 9.790000000000001)|(-38.5625, 2.875, -15.25)|(0.001090830782496456, 0.0272707695624114, 0.001090830782496456)|(359.9375, -2.3125, 0.6875)|(0.999755859375, -0.00653076171875, 0.0205078125, 0.00030517578125)|(-0.11, -0.05, -0.1)|(-0.42, -0.12, 9.790000000000001)
2023-04-21 13:07:13.551040|31|(-0.55, -0.08, 9.69)|(-37.875, 4.6875, -17.25)|(0.006544984694978736, -0.039269908169872414, 0.0)|(359.9375, -2.375, 0.75)|(0.999755859375, -0.00653076171875, 0.02069091796875, 0.00030517578125)|(0.25, -0.01, -0.12)|(-0.4, -0.12, 9.790000000000001)
2023-04-21 13:07:13.699879|31|(-0.31, -0.18, 9.67)|(-36.375, 2.875, -22.1875)|(0.002181661564992912, -0.00545415391248228, 0.002181661564992912)|(359.9375, -2.375, 0.6875)|(0.999755859375, -0.00653076171875, 0.02105712890625, 0.00030517578125)|(0.07, 0.03, -0.27)|(-0.41000000000000003, -0.12, 9.790000000000001)
2023-04-21 13:07:13.968670|31|(-0.29, -0.17, 9.46)|(-39.25, 1.6875, -17.375)|(-0.003272492347489368, 0.020725784867432664, -0.002181661564992912)|(359.9375, -2.4375, 0.6875)|(0.999755859375, -0.00653076171875, 0.02166748046875, 0.00030517578125)|(-0.11, -0.14, -0.23)|(-0.42, -0.12, 9.790000000000001)
2023-04-21 13:07:14.138578|31|(-0.16, -0.08, 9.68)|(-36.5, 5.375, -18.875)|(0.004363323129985824, 0.002181661564992912, -0.002181661564992912)|(359.9375, -2.25, 0.6875)|(0.999755859375, -0.0064697265625, 0.02008056640625, 0.00030517578125)|(0.0, -0.01, -0.12)|(-0.4, -0.12, 9.790000000000001)
2023-04-21 13:07:14.274158|31|(-0.5700000000000001, -0.26, 9.73)|(-33.6875, 1.0, -8.0625)|(0.003272492347489368, -0.022907446432425576, 0.0)|(359.9375, -2.3125, 0.75)|(0.999755859375, -0.006591796875, 0.02044677734375, 0.00030517578125)|(0.24, 0.05, -0.19)|(-0.39, -0.12, 9.790000000000001)
2023-04-21 13:07:14.397783|31|(-0.39, -0.14, 9.65)|(-32.875, 1.375, -8.0625)|(0.001090830782496456, 0.018544123302439753, 0.003272492347489368)|(359.9375, -2.3125, 0.75)|(0.999755859375, -0.00653076171875, 0.02032470703125, 0.00030517578125)|(-0.04, 0.0, -0.1)|(-0.39, -0.12, 9.790000000000001)
2023-04-21 13:07:14.512660|31|(-0.26, -0.08, 9.65)|(-34.375, 0.6875, -8.5)|(0.0, 0.0, 0.0)|(359.9375, -2.25, 0.6875)|(0.999755859375, -0.00653076171875, 0.02008056640625, 0.00030517578125)|(0.05, 0.03, -0.12)|(-0.39, -0.12, 9.790000000000001)
2023-04-21 13:07:14.630589|31|(-0.39, -0.11, 9.64)|(-33.25, 0.6875, -8.0625)|(0.0, -0.003272492347489368, 0.0)|(359.9375, -2.25, 0.6875)|(0.999755859375, -0.00653076171875, 0.02001953125, 0.00030517578125)|(0.07, 0.02, -0.12)|(-0.39, -0.12, 9.790000000000001)
2023-04-21 13:07:14.753250|31|(-0.34, -0.14, 9.68)|(-33.6875, -0.5, -8.5)|(0.001090830782496456, 0.0, -0.001090830782496456)|(359.9375, -2.25, 0.6875)|(0.999755859375, -0.00653076171875, 0.01995849609375, 0.00030517578125)|(0.08, 0.0, -0.14)|(-0.39, -0.12, 9.790000000000001)
2023-04-21 13:07:14.930369|31|(-0.37, -0.13, 9.68)|(-32.875, 0.6875, -7.25)|(0.001090830782496456, -0.003272492347489368, -0.002181661564992912)|(359.9375, -2.25, 0.6875)|(0.999755859375, -0.00653076171875, 0.0198974609375, 0.00030517578125)|(0.09, 0.0, -0.12)|(-0.39, -0.12, 9.790000000000001)
